Datum;Tijd;Parameter;Locatie;Waarde;Eenheid;Windrichting;Windrichting eenheid;Bemonsteringshoogte;Referentievlak;
2-1-2022;12:20:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;208,1;graden;-999999999;NVT;
2-1-2022;12:30:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;212,0;graden;-999999999;NVT;
2-1-2022;12:40:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;215,9;graden;-999999999;NVT;
2-1-2022;12:50:00;Temperatuur Oppervlaktewater oC;Nes;6,3;oC;215,6;graden;-999999999;NVT;
2-1-2022;13:00:00;Temperatuur Oppervlaktewater oC;Nes;6,3;oC;215,2;graden;-999999999;NVT;
2-1-2022;13:10:00;Temperatuur Oppervlaktewater oC;Nes;6,3;oC;220,0;graden;-999999999;NVT;
2-1-2022;13:20:00;Temperatuur Oppervlaktewater oC;Nes;6,3;oC;227,3;graden;-999999999;NVT;
2-1-2022;13:30:00;Temperatuur Oppervlaktewater oC;Nes;6,3;oC;233,5;graden;-999999999;NVT;
2-1-2022;13:40:00;Temperatuur Oppervlaktewater oC;Nes;6,3;oC;237,5;graden;-999999999;NVT;
2-1-2022;13:50:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;240,3;graden;-999999999;NVT;
2-1-2022;14:00:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;239,4;graden;-999999999;NVT;
2-1-2022;14:10:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;238,7;graden;-999999999;NVT;
2-1-2022;14:20:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;236,5;graden;-999999999;NVT;
2-1-2022;14:30:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;237,3;graden;-999999999;NVT;
2-1-2022;14:40:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;240,0;graden;-999999999;NVT;
2-1-2022;14:50:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;238,7;graden;-999999999;NVT;
2-1-2022;15:00:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;237,8;graden;-999999999;NVT;
2-1-2022;15:10:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;235,9;graden;-999999999;NVT;
2-1-2022;15:20:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;235,7;graden;-999999999;NVT;
2-1-2022;15:30:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;236,9;graden;-999999999;NVT;
2-1-2022;15:40:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;236,7;graden;-999999999;NVT;
2-1-2022;15:50:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;233,7;graden;-999999999;NVT;
2-1-2022;16:00:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;233,1;graden;-999999999;NVT;
2-1-2022;16:10:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;230,6;graden;-999999999;NVT;
2-1-2022;16:20:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;224,3;graden;-999999999;NVT;
2-1-2022;16:30:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;216,4;graden;-999999999;NVT;
2-1-2022;16:40:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;211,6;graden;-999999999;NVT;
2-1-2022;16:50:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;215,9;graden;-999999999;NVT;
2-1-2022;17:00:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;215,6;graden;-999999999;NVT;
2-1-2022;17:10:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;211,8;graden;-999999999;NVT;
2-1-2022;17:20:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;213,3;graden;-999999999;NVT;
2-1-2022;17:30:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;215,0;graden;-999999999;NVT;
2-1-2022;17:40:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;213,0;graden;-999999999;NVT;
2-1-2022;17:50:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;214,8;graden;-999999999;NVT;
2-1-2022;18:00:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;217,4;graden;-999999999;NVT;
2-1-2022;18:10:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;216,8;graden;-999999999;NVT;
2-1-2022;18:20:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;213,5;graden;-999999999;NVT;
2-1-2022;18:30:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;211,9;graden;-999999999;NVT;
2-1-2022;18:40:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;213,1;graden;-999999999;NVT;
2-1-2022;18:50:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;213,4;graden;-999999999;NVT;
2-1-2022;19:00:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;210,7;graden;-999999999;NVT;
2-1-2022;19:10:00;Temperatuur Oppervlaktewater oC;Nes;6,7;oC;208,0;graden;-999999999;NVT;
2-1-2022;19:20:00;Temperatuur Oppervlaktewater oC;Nes;6,7;oC;207,3;graden;-999999999;NVT;
2-1-2022;19:30:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;206,0;graden;-999999999;NVT;
2-1-2022;19:40:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;206,2;graden;-999999999;NVT;
2-1-2022;19:50:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;203,8;graden;-999999999;NVT;
2-1-2022;20:00:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;204,0;graden;-999999999;NVT;
2-1-2022;20:10:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;203,6;graden;-999999999;NVT;
2-1-2022;20:20:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;199,3;graden;-999999999;NVT;
2-1-2022;20:30:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;195,1;graden;-999999999;NVT;
2-1-2022;20:40:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;191,4;graden;-999999999;NVT;
2-1-2022;20:50:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;188,3;graden;-999999999;NVT;
2-1-2022;21:00:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;176,3;graden;-999999999;NVT;
2-1-2022;21:10:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;182,7;graden;-999999999;NVT;
2-1-2022;21:20:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;189,9;graden;-999999999;NVT;
2-1-2022;21:30:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;204,8;graden;-999999999;NVT;
2-1-2022;21:40:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;211,6;graden;-999999999;NVT;
2-1-2022;21:50:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;204,9;graden;-999999999;NVT;
2-1-2022;22:00:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;210,3;graden;-999999999;NVT;
2-1-2022;22:10:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;228,4;graden;-999999999;NVT;
2-1-2022;22:20:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;243,3;graden;-999999999;NVT;
2-1-2022;22:30:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;243,8;graden;-999999999;NVT;
2-1-2022;22:40:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;241,9;graden;-999999999;NVT;
2-1-2022;22:50:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;247,6;graden;-999999999;NVT;
2-1-2022;23:00:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;252,5;graden;-999999999;NVT;
2-1-2022;23:10:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;249,1;graden;-999999999;NVT;
2-1-2022;23:20:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;244,7;graden;-999999999;NVT;
2-1-2022;23:30:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;241,1;graden;-999999999;NVT;
2-1-2022;23:40:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;237,7;graden;-999999999;NVT;
2-1-2022;23:50:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;234,5;graden;-999999999;NVT;
3-1-2022;00:00:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;231,1;graden;-999999999;NVT;
3-1-2022;00:10:00;Temperatuur Oppervlaktewater oC;Nes;6,4;oC;229,2;graden;-999999999;NVT;
3-1-2022;00:20:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;229,9;graden;-999999999;NVT;
3-1-2022;00:30:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;227,0;graden;-999999999;NVT;
3-1-2022;00:40:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;226,8;graden;-999999999;NVT;
3-1-2022;00:50:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;226,2;graden;-999999999;NVT;
3-1-2022;01:00:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;227,4;graden;-999999999;NVT;
3-1-2022;01:10:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;228,5;graden;-999999999;NVT;
3-1-2022;01:20:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;227,5;graden;-999999999;NVT;
3-1-2022;01:30:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;229,4;graden;-999999999;NVT;
3-1-2022;01:40:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;230,0;graden;-999999999;NVT;
3-1-2022;01:50:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;227,8;graden;-999999999;NVT;
3-1-2022;02:00:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;225,2;graden;-999999999;NVT;
3-1-2022;02:10:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;223,4;graden;-999999999;NVT;
3-1-2022;02:20:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;222,8;graden;-999999999;NVT;
3-1-2022;02:30:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;225,3;graden;-999999999;NVT;
3-1-2022;02:40:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;225,7;graden;-999999999;NVT;
3-1-2022;02:50:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;226,1;graden;-999999999;NVT;
3-1-2022;03:00:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;224,2;graden;-999999999;NVT;
3-1-2022;03:10:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;224,9;graden;-999999999;NVT;
3-1-2022;03:20:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;226,3;graden;-999999999;NVT;
3-1-2022;03:30:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;227,4;graden;-999999999;NVT;
3-1-2022;03:40:00;Temperatuur Oppervlaktewater oC;Nes;6,6;oC;229,6;graden;-999999999;NVT;
3-1-2022;03:50:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;228,6;graden;-999999999;NVT;
3-1-2022;04:00:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;230,6;graden;-999999999;NVT;
3-1-2022;04:10:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;229,5;graden;-999999999;NVT;
3-1-2022;04:20:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;227,1;graden;-999999999;NVT;
3-1-2022;04:30:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;227,5;graden;-999999999;NVT;
3-1-2022;04:40:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;226,2;graden;-999999999;NVT;
3-1-2022;04:50:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;225,7;graden;-999999999;NVT;
3-1-2022;05:00:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;224,4;graden;-999999999;NVT;
3-1-2022;05:10:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;226,5;graden;-999999999;NVT;
3-1-2022;05:20:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;226,6;graden;-999999999;NVT;
3-1-2022;05:30:00;Temperatuur Oppervlaktewater oC;Nes;6,5;oC;226,0;graden;-999999999;NVT;
